0,1
TCGA-85-8354,Altered
TCGA-85-8479,Altered
TCGA-85-8481,Altered
TCGA-85-8580,Altered
TCGA-85-8664,Altered
TCGA-UB-A7MC,Altered
TCGA-86-A4D0,Altered
TCGA-86-6562,Altered
TCGA-86-7713,Altered
TCGA-86-7714,Altered
TCGA-86-8054,Altered
TCGA-86-8056,Altered
TCGA-86-8074,Altered
TCGA-86-8278,Altered
TCGA-86-8279,Altered
TCGA-86-8281,Altered
TCGA-86-8358,Altered
TCGA-86-8359,Altered
TCGA-86-8674,Altered
TCGA-WX-AA47,Altered
TCGA-XR-A8TE,Altered
TCGA-90-A4ED,Altered
TCGA-90-7766,Altered
TCGA-90-7767,Altered
TCGA-90-7769,Altered
TCGA-90-7964,Altered
TCGA-91-6836,Altered
TCGA-91-6847,Altered
TCGA-92-7341,Altered
TCGA-92-8063,Altered
TCGA-93-8067,Altered
TCGA-94-A4VJ,Altered
TCGA-94-A5I4,Altered
TCGA-94-A5I6,Altered
TCGA-94-7033,Altered
TCGA-94-7943,Altered
TCGA-94-8035,Altered
TCGA-94-8491,Altered
TCGA-95-A4VK,Altered
TCGA-95-7039,Altered
TCGA-95-7043,Altered
TCGA-95-7948,Altered
TCGA-96-7544,Altered
TCGA-96-7545,Altered
TCGA-96-8169,Altered
TCGA-96-8170,Altered
TCGA-97-A4M3,Altered
TCGA-97-7547,Altered
TCGA-97-7937,Altered
TCGA-97-8171,Altered
TCGA-97-8176,Altered
TCGA-97-8179,Altered
TCGA-98-A53A,Altered
TCGA-98-A53B,Altered
TCGA-98-A53J,Altered
TCGA-98-A538,Altered
TCGA-98-A539,Altered
TCGA-98-8020,Altered
TCGA-98-8021,Altered
TCGA-98-8022,Altered
TCGA-99-8025,Altered
TCGA-99-8032,Altered
TCGA-99-8033,Altered
TCGA-2Y-A9GX,Altered
TCGA-2Y-A9H2,Altered
TCGA-3X-AAV9,Altered
TCGA-3X-AAVA,Altered
TCGA-3X-AAVB,Altered
TCGA-3X-AAVC,Altered
TCGA-4G-AAZO,Altered
TCGA-4R-AA8I,Altered
TCGA-05-4244,Altered
TCGA-05-4249,Altered
TCGA-05-4384,Altered
TCGA-05-4389,Altered
TCGA-05-4398,Altered
TCGA-05-4402,Altered
TCGA-05-4403,Altered
TCGA-05-4410,Altered
TCGA-05-4417,Altered
TCGA-05-4418,Altered
TCGA-05-4422,Altered
TCGA-05-4424,Altered
TCGA-05-4426,Altered
TCGA-05-4432,Altered
TCGA-05-4433,Altered
TCGA-05-5425,Altered
TCGA-05-5429,Altered
TCGA-05-5715,Altered
TCGA-5C-A9VH,Altered
TCGA-18-3416,Altered
TCGA-21-1076,Altered
TCGA-22-0940,Altered
TCGA-22-1000,Altered
TCGA-22-1005,Altered
TCGA-22-1016,Altered
TCGA-22-4594,Altered
TCGA-22-4596,Altered
TCGA-22-4604,Altered
TCGA-22-4605,Altered
TCGA-22-4609,Altered
TCGA-22-5471,Altered
TCGA-22-5474,Altered
TCGA-22-5489,Altered
TCGA-22-5492,Altered
TCGA-34-2608,Altered
TCGA-34-5232,Altered
TCGA-34-5927,Altered
TCGA-34-8454,Altered
TCGA-35-4122,Altered
TCGA-38-A44F,Altered
TCGA-38-4625,Altered
TCGA-38-4632,Altered
TCGA-38-7271,Altered
TCGA-39-5011,Altered
TCGA-39-5022,Altered
TCGA-39-5030,Altered
TCGA-43-A56U,Altered
TCGA-43-A475,Altered
TCGA-43-2576,Altered
TCGA-43-6773,Altered
TCGA-44-A4SS,Altered
TCGA-44-A47G,Altered
TCGA-44-A479,Altered
TCGA-44-2656,Altered
TCGA-44-2657,Altered
TCGA-44-2659,Altered
TCGA-44-2662,Altered
TCGA-44-3919,Altered
TCGA-44-5645,Altered
TCGA-44-6145,Altered
TCGA-44-6775,Altered
TCGA-44-6777,Altered
TCGA-44-6779,Altered
TCGA-44-7669,Altered
